,Artist,Title,Top100,URI
333,love,alone again or - 2015 remastered version,0,1XuccRABkfUVB4FjSVhjL1
334,count five,psychotic reaction - rarities version,0,77oq56JTlEBzAH7KNZHvx1
335,the 13th floor elevators,slip inside this house - stereo lp version,0,4GVRHAwABAV0v63YX9Go0p
336,the electric prunes,i had too much to dream (last night),0,5YgCmkSdGukXqK3fJlX4pQ
337,? & the mysterians,96 tears,0,4PEeZ2U4UfP2Jo8EtIOjus
338,the sonics,have love will travel,0,2uXkW8uJcOIhlbUatEPLPs
339,mc5,kick out the jams,0,5mSZLysuAtdNA21mbOm0sx
340,the monks,i hate you,0,3XrPNRdFbGZESTGPte23dD
341,the stooges,i wanna be your dog,0,672N8DGGTOLCOgWe0koX5g
342,the velvet underground,i'm waiting for the man - album version (stereo),0,7hrJgdNzMHlKxEorMLrPcD
343,the byrds,eight miles high,0,2BGNomqCxEDcXyxf8bg27k
344,the surfaris,wipe out,0,4anUinKv803lyDD1vaSXhU
345,extreme,more than words,0,1gVgkQFOKa8Wc1HYsJtPdH
346,tom petty,free fallin',0,5tVA6TkbaAH9QMITTQRrNv
348,bill withers,lean on me,0,3M8FzayQWtkvOhqMn2V4T2
350,tracy chapman,fast car,0,2M9ro2krNb7nr7HSprkEgo
351,carly simon,you're so vain,0,2DnJjbjNTV9Nd5NOa1KGba
352,kansas,dust in the wind,0,6zeE5tKyr8Nu882DQhhSQI
353,faces,ooh la la,0,4lJ6YVXQ0jUk5ILu0PSrA4
354,james taylor,you've got a friend,0,69l8nFPu0LWmnoJX7YSVYc
355,bob marley & the wailers,redemption song,0,26PwuMotZqcczKLHi4Htz3
356,van morrison,crazy love,0,2hjAc6x8EoSLhGxRNg8KEw
357,bruce springsteen,i'm on fire,0,3PzsbWSQdLCKDLxn7YZfkM
358,neil young,heart of gold,0,1Q1b8eVkUPGlpSArl8JAVw
359,dolly parton,wildflowers - remastered,0,27876bQcDNkZhWqvF0zfFN
360,elton john,"rocket man (i think it's going to be a long, long time)",0,3gdewACMIVMEWVbyb8O9sY
361,phil collins,in the air tonight - 2015 remastered,0,18AXbzPzBS8Y3AkgSxzJPb
362,chris isaak,wicked game - remastered,0,390AWnOn2rfe9FzQjYmxIH
363,leonard cohen,hallelujah,0,7yzbimr8WVyAtBX3Eg6UL9
364,george harrison,my sweet lord,0,0qdQUeKVyevrbKhAo0ibxS
365,america,a horse with no name,0,54eZmuggBFJbV7k248bTTt
366,dolly parton,jolene,0,2SpEHTbUuebeLkgs9QB7Ue
367,the beatles,let it be - remastered 2009,0,7iN1s7xHE4ifF5povM6A48
368,rod stewart,maggie may,0,6rovOdp3HgK1DeAMYDzoA7
369,paul simon,me and julio down by the schoolyard,0,6vxHp3CDNo0afgKGp2yi1E
370,carole king,where you lead,0,0APt4t1Dab58sYmGQ4jgij
371,janis joplin,me and bobby mcgee,0,1IqFh00G2kvvMm8pRMpehA
372,gordon lightfoot,if you could read my mind,0,57ct8jKi6trntXiRV0NnXi
373,nick drake,pink moon,0,16qzGrIMWoxerw2gnW0zuv
375,led zeppelin,going to california,0,70gbuMqwNBE2Y5rkQJE9By
376,neil young,"my my, hey hey (out of the blue)",0,6VltRkmJbCTqgKrTHk4Ulw
377,johnny cash,i walk the line,0,7hxZF4jETnE5Q75rKQnMjE
378,the beatles,across the universe - remastered 2009,0,4dkoqJrP0L8FXftrMZongF
379,yusuf / cat stevens,wild world,0,6Xz7FeyE8HTP90HecgHV57
380,joni mitchell,california,0,5eM6Rrk8rwLpUhrh7Kk5R1
382,bob dylan,tangled up in blue,0,6Vcwr9tb3ZLO63F8DL8cqu
383,john lennon,imagine - remastered 2010,0,3D9iV6cYkYJRAPFO6DRKIE
384,paul mccartney,maybe i’m amazed - remastered 2011,0,1Qa0Y05al633fG8f9Peytc
385,suzanne vega,tom's diner,0,7f9sC9fvtjYSZYOLSmKJlq
386,commodores,easy,0,1JQ6Xm1JrvHfvAqhl5pwaA
387,joe cocker,up where we belong,0,0Co8hKbjUy273NrGliGdWZ
388,david bowie,life on mars? - 2015 remastered version,0,3ZE3wv8V3w2T2f7nOCjV0N
389,depeche mode,personal jesus - acoustic version,0,7JbHx1w8yllNESuyp9SYv3
390,kate bush,wuthering heights,0,5YSI1311X8t31PBjkBG4CZ
391,stealers wheel,stuck in the middle with you - remastered,0,4l7JOtDFoqhbSIepQT62hs
392,"grover washington, jr.",just the two of us (feat. bill withers),0,1ko2lVN0vKGUl9zrU0qSlT
393,carole king,(you make me feel like) a natural woman,0,0LXljhKMUgoLv8tLwZ1hmf
394,simon & garfunkel,cecilia,0,6QhXQOpyYvbpdbyjgAqKdY
395,"crosby, stills, nash & young",our house,0,2hitsKa8SthKhRJBXUHbIv
396,van morrison,and it stoned me,0,3n5iUh2Z6P7cnWins22W0F
397,leonard cohen,famous blue raincoat,0,77K5TB5KZmDZCoJCdd1NvE
398,george harrison,all things must pass,0,0qdQUeKVyevrbKhAo0ibxS
399,john lennon,stand by me - remastered,0,3ntrdR24dLkKrzSGRv1FlH
400,peter frampton,"baby, i love your way",0,1ksayCHVLH4eKFm43GFokU
401,peter gabriel,solsbury hill,0,1CM1wOqD2AIjt2MWd31LV2
402,emmylou harris,boulder to birmingham - remastered,0,05XNDab0Lhitzqk7tRpOnY
403,karen dalton,something on your mind,0,6Vz2IQv3AYoznh4tjsrRPo
405,grateful dead,ripple,0,1OE5l6sedVcIFELMuxQOPI
406,joe cocker,you are so beautiful,0,1gJOqXpRjz9GeEEwQpcujK
407,linda ronstadt,blue bayou,0,3zxklD2EGecZre9MjEEvIU
408,queen,bohemian rhapsody - remastered 2011,0,7tFiyTwD0nx5a1eklYtX2J
409,led zeppelin,stairway to heaven,0,5CQ30WqJwcep0pYcV4AMNc
410,the clash,london calling - remastered,0,5jzma6gCzYtKB1DbEwFZKH
411,the doors,riders on the storm,0,14XWXWv5FoCbFzLksawpEe
412,kiss,rock and roll all nite,0,6KTv0Z8BmVqM7DPxbGzpVC
413,the who,who are you,0,23IJ5wLRhEZ9DOuia5mPiZ
414,david bowie,changes - 2015 remastered version,0,0LrwgdLsFaWh9VXIjBRe8t
415,creedence clearwater revival,who'll stop the rain,0,3Bh6uInhcVBVvLraGZdkKD
416,the rolling stones,wild horses,0,52dm9op3rbfAkc1LGXgipW
417,aerosmith,dream on,0,5MxNLUsfh7uzROypsoO5qe
418,the police,roxanne - remastered 2003,0,3EYOJ48Et32uATr9ZmLnAo
419,ac/dc,highway to hell,0,2zYzyRzz6pRmhPzyfMEC8s
420,t. rex,bang a gong (get it on) - remastered version,0,6FsQrRpBLgsrFeAeiQqytm
421,deep purple,smoke on the water,0,5SAUIWdZ04OxYfJFDchC7S
422,santana,black magic woman,0,4YMQXzscifAREG0a7KNGhB
423,the police,message in a bottle - remastered 2003,0,1oYYd2gnWZYrt89EBXdFiO
424,lynyrd skynyrd,free bird,0,5EWPGh7jbTNO2wakv8LjUI
425,eric clapton,cocaine,0,3ykSdTGmYPFl8pDBXer1zG
426,the kinks,lola - coca cola version,0,0UAJH0k4k3slcE83a9UGCe
427,led zeppelin,black dog,0,3qT4bUD1MaWpGrTwcvguhb
429,cheap trick,i want you to want me,0,1JkZg3eMQTmTn93E8Yd3UL
430,kiss,black diamond,0,6PmckFG2BhEELc5OM7O7DS
431,manfred mann's earth band,blinded by the light,0,7kNNylJ1kswWbHeRM6UDuE
432,tom petty and the heartbreakers,american girl,0,7MRyJPksH3G2cXHN8UKYzP
433,pink floyd,brain damage,0,05uGBKRCuePsf43Hfm0JwX
434,pink floyd,comfortably numb,0,5HNCy40Ni5BZJFw1TKzRsC
435,bruce springsteen,born to run,0,6hTcuIQa0sxrrByu9wTD7s
436,derek & the dominos,layla - 40th anniversary version / 2010 remastered,0,2kkvB3RNRzwjFdGhaUA0tz
437,the cars,just what i needed,0,4alHo6RGd0D3OUbTPExTHN
439,don mclean,american pie,0,1fDsrQ23eTAVFElUMaf38X
440,jethro tull,aqualung,0,5UuikgHTxSRFRnC0zXx10i
441,the who,won't get fooled again - original album version,0,0cJPLFrlV7TTCyPLupHzcH
443,thin lizzy,the boys are back in town,0,43DeSV93pJPT4lCZaWZ6b1
444,aerosmith,walk this way,0,5SZ6zX4rOrEQferfFC2MfP
445,rod stewart,maggie may - remastered version,0,1r3kj1yMff7ilIsR7hpvUo
446,steve miller band,the joker,0,1bp2IO61zbQrbWNmKKxg3f
447,queen,we will rock you - remastered,0,54flyrjcdnQdco7300avMJ
448,lou reed,walk on the wild side,0,5p3JunprHCxClJjOmcLV8G
449,the rolling stones,brown sugar,0,61UuPxxYUvacEH6SHIK3sU
